bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,book_genre,genres.children,"genres.comics, graphic","genres.fantasy, paranormal",genres.fiction,"genres.history, historical fiction, biography","genres.mystery, thriller, crime",genres.non-fiction,genres.poetry,genres.romance,genres.young-adult,Months_Until_Today,co-authors,author_rating,book_format,audio 0 book 1
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling,4.57,0439785960,9780439785969,eng,652,2095690,27591,2006-09-16,Scholastic Inc.,"genres.fantasy, paranormal",0,0,1,0,0,0,0,0,0,0,204,Mary GrandPré,4.44,book,1
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling,4.49,0439358078,9780439358071,eng,870,2153167,29221,2004-09-01,Scholastic Inc.,"genres.fantasy, paranormal",0,0,1,0,0,0,0,0,0,0,228,Mary GrandPré,4.44,book,1
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,0439554896,9780439554893,eng,352,6333,244,2003-11-01,Scholastic,"genres.fantasy, paranormal",0,0,1,0,0,0,0,0,0,0,238,,4.44,book,1
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling,4.56,043965548X,9780439655484,eng,435,2339585,36325,2004-05-01,Scholastic Inc.,genres.fiction,0,0,0,1,0,0,0,0,0,0,232,Mary GrandPré,4.44,book,1
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling,4.78,0439682584,9780439682589,eng,2690,41428,164,2004-09-13,Scholastic,"genres.fantasy, paranormal",0,0,1,0,0,0,0,0,0,0,228,Mary GrandPré,4.44,book,1
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,0976540606,9780976540601,eng,152,19,1,2005-04-26,Nimble Books,"genres.history, historical fiction, biography",0,0,0,0,1,0,0,0,0,0,221,,4.25,book,1
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,0439827604,9780439827607,eng,3342,28242,808,2005-09-12,Scholastic,"genres.fantasy, paranormal",0,0,1,0,0,0,0,0,0,0,216,,4.44,book,1
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0517226952,9780517226957,eng,815,3628,254,2005-11-01,Gramercy Books,genres.fiction,0,0,0,1,0,0,0,0,0,0,214,,4.19,book,1
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0345453743,9780345453747,eng,815,249558,4080,2002-04-30,Del Rey Books,genres.fiction,0,0,0,1,0,0,0,0,0,0,257,,4.19,book,1
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,9781400052929,eng,215,4930,460,2004-08-03,Crown,genres.fiction,0,0,0,1,0,0,0,0,0,0,229,,4.19,book,1
